ID,Year,Country,Country area (km^2),Continent,Population ,GDP (USD)
166,2004,Peru,1285220.0,South America,27893911,66768703497.57
167,2005,Peru,1285220.0,South America,28147267,76060606060.61
168,2006,Peru,1285220.0,South America,28381078,88643193061.75
169,2007,Peru,1285220.0,South America,28600387,102170981144.14
170,2008,Peru,1285220.0,South America,28806185,120550599815.44
171,2009,Peru,1285220.0,South America,29009326,120822986521.48
172,2010,Peru,1285220.0,South America,29229572,147527631520.73
173,2011,Peru,1285220.0,South America,29477721,171761737046.59
174,2012,Peru,1285220.0,South America,29749589,192649991136.09
175,2013,Peru,1285220.0,South America,30038809,201175541637.44
176,2014,Peru,1285220.0,South America,30353951,200786240836.82
177,2015,Peru,1285220.0,South America,30711863,189802961890.1
178,2016,Peru,1285220.0,South America,31132779,191898127860.84
179,2017,Peru,1285220.0,South America,31605486,211007952315.89
180,2018,Peru,1285220.0,South America,32203944,222597030191.04
181,2019,Peru,1285220.0,South America,32824861,228325852220.76
182,2020,Peru,1285220.0,South America,33304756,201947603715.41
183,2021,Peru,1285220.0,South America,33715471,223717791482.58
184,2022,Peru,1285220.0,South America,34049588,242631549613.27
185,2000,Suriname,163270.0,South America,478998,947671969.7
186,2001,Suriname,163270.0,South America,487394,834279357.8
187,2002,Suriname,163270.0,South America,495666,1093574468.09
188,2003,Suriname,163270.0,South America,503780,1274190311.42
189,2004,Suriname,163270.0,South America,510572,1484092538.41
190,2005,Suriname,163270.0,South America,516220,1793410617.01
191,2006,Suriname,163270.0,South America,522023,2626380435.18
192,2007,Suriname,163270.0,South America,527946,2936612021.86
193,2008,Suriname,163270.0,South America,533938,3532969034.61
194,2009,Suriname,163270.0,South America,539987,3875409836.07
195,2010,Suriname,163270.0,South America,546080,4368371528.3
196,2011,Suriname,163270.0,South America,552146,4422276621.79
197,2012,Suriname,163270.0,South America,558111,4980000000.0
198,2013,Suriname,163270.0,South America,563947,5145757575.76
199,2014,Suriname,163270.0,South America,569682,5240606060.61
200,2015,Suriname,163270.0,South America,575475,5126238146.34
201,2016,Suriname,163270.0,South America,581453,3317421499.77
202,2017,Suriname,163270.0,South America,587559,3591679371.04
203,2018,Suriname,163270.0,South America,593715,3996198760.32
204,2019,Suriname,163270.0,South America,600301,4016040575.09
205,2020,Suriname,163270.0,South America,607065,2911807496.2
206,2021,Suriname,163270.0,South America,612985,2984706243.65
207,2022,Suriname,163270.0,South America,618040,3620655116.22
208,2000,Uruguay,176220.0,South America,3292224,22823271520.87
209,2001,Uruguay,176220.0,South America,3300939,20898762265.27
210,2002,Uruguay,176220.0,South America,3306441,13606515935.95
211,2003,Uruguay,176220.0,South America,3310202,12045638209.51
212,2004,Uruguay,176220.0,South America,3313801,13686329890.12
213,2005,Uruguay,176220.0,South America,3317665,17362857683.85
214,2006,Uruguay,176220.0,South America,3322282,19741420466.54
215,2007,Uruguay,176220.0,South America,3328651,23797773024.4
216,2008,Uruguay,176220.0,South America,3336126,31119603033.99
217,2009,Uruguay,176220.0,South America,3344156,32708318594.41
218,2010,Uruguay,176220.0,South America,3352651,41950361211.96
219,2011,Uruguay,176220.0,South America,3361637,50342405198.25
220,2012,Uruguay,176220.0,South America,3371133,54232266358.78
221,2013,Uruguay,176220.0,South America,3381180,61337620935.53
222,2014,Uruguay,176220.0,South America,3391662,61496186973.9
223,2015,Uruguay,176220.0,South America,3402818,57680328702.24
224,2016,Uruguay,176220.0,South America,3413766,57480788380.31
225,2017,Uruguay,176220.0,South America,3422200,65006047680.32
226,2018,Uruguay,176220.0,South America,3427042,65203071110.6
227,2019,Uruguay,176220.0,South America,3428409,62048585618.5
228,2020,Uruguay,176220.0,South America,3429086,53666908479.56
229,2021,Uruguay,176220.0,South America,3426260,61412268248.95
230,2022,Uruguay,176220.0,South America,3422794,71177146197.5
231,2000,Guiana (France),91000.0,South America,160004,
232,2001,Guiana (France),91000.0,South America,166833,
233,2002,Guiana (France),91000.0,South America,174529,
234,2003,Guiana (France),91000.0,South America,182822,
235,2004,Guiana (France),91000.0,South America,191188,
236,2005,Guiana (France),91000.0,South America,199171,
237,2006,Guiana (France),91000.0,South America,206460,
238,2007,Guiana (France),91000.0,South America,213062,
239,2008,Guiana (France),91000.0,South America,219105,
240,2009,Guiana (France),91000.0,South America,224792,
241,2010,Guiana (France),91000.0,South America,230291,
242,2011,Guiana (France),91000.0,South America,235712,
243,2012,Guiana (France),91000.0,South America,241039,
244,2013,Guiana (France),91000.0,South America,246380,
245,2014,Guiana (France),91000.0,South America,251938,
246,2015,Guiana (France),91000.0,South America,257920,
247,2016,Guiana (France),91000.0,South America,264435,
248,2017,Guiana (France),91000.0,South America,271537,
249,2018,Guiana (France),91000.0,South America,279094,
250,2019,Guiana (France),91000.0,South America,286912,
251,2020,Guiana (France),91000.0,South America,294774,
252,2021,Guiana (France),91000.0,South America,302945,
253,2022,Guiana (France),91000.0,South America,311343,
254,2000,Chile,756950.0,South America,15351799,78249883995.63
255,2001,Chile,756950.0,South America,15523978,71517267767.74
256,2002,Chile,756950.0,South America,15693790,70295232513.05
257,2003,Chile,756950.0,South America,15859112,76507853875.66
258,2004,Chile,756950.0,South America,16017966,99079365628.33
259,2005,Chile,756950.0,South America,16175311,122314960843.92
260,2006,Chile,756950.0,South America,16334575,153840051814.06
261,2007,Chile,756950.0,South America,16495538,172565861848.9
262,2008,Chile,756950.0,South America,16661462,179663390874.65
263,2009,Chile,756950.0,South America,16833447,171412643623.96
264,2010,Chile,756950.0,South America,17004162,217105434199.5
265,2011,Chile,756950.0,South America,17173573,251224856981.29
266,2012,Chile,756950.0,South America,17341771,267175870677.66
267,2013,Chile,756950.0,South America,17509925,277239473853.81
268,2014,Chile,756950.0,South America,17687108,259405194672.94
269,2015,Chile,756950.0,South America,17870124,242496655711.52
270,2016,Chile,756950.0,South America,18083879,249298706449.18
271,2017,Chile,756950.0,South America,18368577,276364936832.33
272,2018,Chile,756950.0,South America,18701450,295402646018.15
273,2019,Chile,756950.0,South America,19039485,278493308134.1
274,2020,Chile,756950.0,South America,19300315,254096103516.32
275,2021,Chile,756950.0,South America,19493184,316713577508.67
276,2022,Chile,756950.0,South America,19603733,301025249437.95
277,2000,Ecuador,283560.0,South America,12626507,18327764882.44
278,2001,Ecuador,283560.0,South America,12845521,24468324000.0
279,2002,Ecuador,283560.0,South America,13070609,28548945000.0
280,2003,Ecuador,283560.0,South America,13301184,32432858000.0
281,2004,Ecuador,283560.0,South America,13534593,36591661000.0
282,2005,Ecuador,283560.0,South America,13770012,41507085000.0
283,2006,Ecuador,283560.0,South America,14009061,46802044000.0
284,2007,Ecuador,283560.0,South America,14251835,51007777000.0
285,2008,Ecuador,283560.0,South America,14496797,61762635000.0
286,2009,Ecuador,283560.0,South America,14742766,62519686000.0
287,2010,Ecuador,283560.0,South America,14989585,69555367000.0
288,2011,Ecuador,283560.0,South America,15237728,79276664000.0
289,2012,Ecuador,283560.0,South America,15483883,87924544000.0
290,2013,Ecuador,283560.0,South America,15722989,95129659000.0
291,2014,Ecuador,283560.0,South America,15957994,101726331000.0
292,2015,Ecuador,283560.0,South America,16195902,99290381000.0
293,2016,Ecuador,283560.0,South America,16439585,99937696000.0
294,2017,Ecuador,283560.0,South America,16696944,104295862000.0
295,2018,Ecuador,283560.0,South America,17015672,107562008000.0
296,2019,Ecuador,283560.0,South America,17343740,108108009000.0
297,2020,Ecuador,283560.0,South America,17588595,99291124000.0
298,2021,Ecuador,283560.0,South America,17797737,106165866000.0
299,2022,Ecuador,283560.0,South America,18001000,115049476000.0
300,2000,Antigua and Barbuda,447.0,North America,75055,826370370.37
301,2001,Antigua and Barbuda,447.0,North America,76215,800481481.48
302,2002,Antigua and Barbuda,447.0,North America,77195,814381481.48
303,2003,Antigua and Barbuda,447.0,North America,78075,856396296.3
304,2004,Antigua and Barbuda,447.0,North America,78941,919729629.63
305,2005,Antigua and Barbuda,447.0,North America,79869,1022962962.96
306,2006,Antigua and Barbuda,447.0,North America,80895,1157662962.96
307,2007,Antigua and Barbuda,447.0,North America,82016,1312759259.26
308,2008,Antigua and Barbuda,447.0,North America,83251,1370070370.37
309,2009,Antigua and Barbuda,447.0,North America,84534,1228329629.63
310,2010,Antigua and Barbuda,447.0,North America,85695,1148700000.0
311,2011,Antigua and Barbuda,447.0,North America,86729,1137637037.04
312,2012,Antigua and Barbuda,447.0,North America,87674,1199948148.15
313,2013,Antigua and Barbuda,447.0,North America,88497,1181448148.15
