ID,Ano,País,Área do País,Continente,População,PIB (Dólares)
173,2011,Peru,1285220.0,South America,29477721.0,171761737046.59
174,2012,Peru,1285220.0,South America,29749589.0,192649991136.09
175,2013,Peru,1285220.0,South America,30038809.0,201175541637.44
176,2014,Peru,1285220.0,South America,30353951.0,200786240836.82
177,2015,Peru,1285220.0,South America,30711863.0,189802961890.1
178,2016,Peru,1285220.0,South America,31132779.0,191898127860.84
179,2017,Peru,1285220.0,South America,31605486.0,211007952315.89
180,2018,Peru,1285220.0,South America,32203944.0,222597030191.04
181,2019,Peru,1285220.0,South America,32824861.0,228325852220.76
182,2020,Peru,1285220.0,South America,33304756.0,201947603715.41
183,2021,Peru,1285220.0,South America,33715471.0,223717791482.58
184,2022,Peru,1285220.0,South America,34049588.0,242631549613.27
185,2000,Suriname,163270.0,South America,478998.0,947671969.7
186,2001,Suriname,163270.0,South America,487394.0,834279357.8
187,2002,Suriname,163270.0,South America,495666.0,1093574468.09
188,2003,Suriname,163270.0,South America,503780.0,1274190311.42
189,2004,Suriname,163270.0,South America,510572.0,1484092538.41
190,2005,Suriname,163270.0,South America,516220.0,1793410617.01
191,2006,Suriname,163270.0,South America,522023.0,2626380435.18
192,2007,Suriname,163270.0,South America,527946.0,2936612021.86
193,2008,Suriname,163270.0,South America,533938.0,3532969034.61
194,2009,Suriname,163270.0,South America,539987.0,3875409836.07
195,2010,Suriname,163270.0,South America,546080.0,4368371528.3
196,2011,Suriname,163270.0,South America,552146.0,4422276621.79
197,2012,Suriname,163270.0,South America,558111.0,4980000000.0
198,2013,Suriname,163270.0,South America,563947.0,5145757575.76
199,2014,Suriname,163270.0,South America,569682.0,5240606060.61
200,2015,Suriname,163270.0,South America,575475.0,5126238146.34
201,2016,Suriname,163270.0,South America,581453.0,3317421499.77
202,2017,Suriname,163270.0,South America,587559.0,3591679371.04
203,2018,Suriname,163270.0,South America,593715.0,3996198760.32
204,2019,Suriname,163270.0,South America,600301.0,4016040575.09
205,2020,Suriname,163270.0,South America,607065.0,2911807496.2
206,2021,Suriname,163270.0,South America,612985.0,2984706243.65
207,2022,Suriname,163270.0,South America,618040.0,3620655116.22
208,2000,Uruguay,176220.0,South America,3292224.0,22823271520.87
209,2001,Uruguay,176220.0,South America,3300939.0,20898762265.27
210,2002,Uruguay,176220.0,South America,3306441.0,13606515935.95
211,2003,Uruguay,176220.0,South America,3310202.0,12045638209.51
212,2004,Uruguay,176220.0,South America,3313801.0,13686329890.12
213,2005,Uruguay,176220.0,South America,3317665.0,17362857683.85
